File name,File path
Implementation of the logistic regression algorithm for classification,https://raw.githubusercontent.com/rasbt/mlxtend/refs/heads/master/mlxtend/classifier/logistic_regression.py
Softmax regression classifier.,https://raw.githubusercontent.com/rasbt/mlxtend/refs/heads/master/mlxtend/classifier/softmax_regression.py
K-means clustering class,https://raw.githubusercontent.com/rasbt/mlxtend/refs/heads/master/mlxtend/cluster/kmeans.py
Accuracy calculator,https://raw.githubusercontent.com/rasbt/mlxtend/refs/heads/master/mlxtend/evaluate/accuracy.py
Group time series cross-validator,https://raw.githubusercontent.com/rasbt/mlxtend/refs/heads/master/mlxtend/evaluate/time_series.py
Principal Component Analysis for dimensionality reduction.,https://raw.githubusercontent.com/rasbt/mlxtend/refs/heads/master/mlxtend/feature_extraction/principal_component_analysis.py
Algorithm for sequential feature selection.,https://raw.githubusercontent.com/rasbt/mlxtend/refs/heads/master/mlxtend/feature_selection/sequential_feature_selector.py
Ordinary least squares linear regression.,https://raw.githubusercontent.com/rasbt/mlxtend/refs/heads/master/mlxtend/regressor/linear_regression.py
Encoder class for transaction data in Python lists,https://raw.githubusercontent.com/rasbt/mlxtend/refs/heads/master/mlxtend/preprocessing/transactionencoder.py
Adamax optimizer implementation,https://raw.githubusercontent.com/tensorflow/tensorflow/refs/heads/master/tensorflow/python/keras/optimizer_v2/adamax.py
SGD optimizer implementation,https://raw.githubusercontent.com/tensorflow/tensorflow/refs/heads/master/tensorflow/python/keras/optimizer_v2/gradient_descent.py
RMSprop optimizer implementation,https://raw.githubusercontent.com/tensorflow/tensorflow/refs/heads/master/tensorflow/python/keras/optimizer_v2/rmsprop.py
Flask application,https://raw.githubusercontent.com/pallets/flask/refs/heads/main/src/flask/app.py
Loss base class,https://raw.githubusercontent.com/keras-team/keras/refs/heads/master/keras/src/losses/loss.py
Keras metrics,https://raw.githubusercontent.com/keras-team/keras/refs/heads/master/keras/src/metrics/metric.py
Embedding layer,https://raw.githubusercontent.com/tensorflow/tensorflow/refs/heads/master/tensorflow/python/keras/layers/embeddings.py
Semi Supervised Learning,https://raw.githubusercontent.com/scikit-learn/scikit-learn/refs/heads/main/sklearn/semi_supervised/_self_training.py
DBSCAN,https://raw.githubusercontent.com/scikit-learn/scikit-learn/6e9039160f0dfc3153643143af4cfdca941d2045/sklearn/cluster/_dbscan.py
Agglomeration,https://raw.githubusercontent.com/scikit-learn/scikit-learn/6e9039160f0dfc3153643143af4cfdca941d2045/sklearn/cluster/_feature_agglomeration.py
OPTICS algorithm,https://raw.githubusercontent.com/scikit-learn/scikit-learn/6e9039160f0dfc3153643143af4cfdca941d2045/sklearn/cluster/_optics.py
Bayesian Gaussian Mixture ,https://raw.githubusercontent.com/scikit-learn/scikit-learn/6e9039160f0dfc3153643143af4cfdca941d2045/sklearn/mixture/_bayesian_mixture.py
Gaussian Mixture Model,https://raw.githubusercontent.com/scikit-learn/scikit-learn/6e9039160f0dfc3153643143af4cfdca941d2045/sklearn/mixture/_gaussian_mixture.py
Preprocessing,https://raw.githubusercontent.com/scikit-learn/scikit-learn/6e9039160f0dfc3153643143af4cfdca941d2045/sklearn/preprocessing/_label.py
Target encoder,https://raw.githubusercontent.com/scikit-learn/scikit-learn/6e9039160f0dfc3153643143af4cfdca941d2045/sklearn/preprocessing/_target_encoder.py
Transformers,https://raw.githubusercontent.com/scikit-learn/scikit-learn/6e9039160f0dfc3153643143af4cfdca941d2045/sklearn/preprocessing/_function_transformer.py
Encoders,https://raw.githubusercontent.com/scikit-learn/scikit-learn/6e9039160f0dfc3153643143af4cfdca941d2045/sklearn/preprocessing/_encoders.py
Convolution layer,https://raw.githubusercontent.com/tensorflow/tensorflow/refs/heads/master/tensorflow/python/keras/layers/convolutional.py
Pooling layer,https://raw.githubusercontent.com/tensorflow/tensorflow/refs/heads/master/tensorflow/python/keras/layers/pooling.py
